timestamp,time_slot,occupancy,hour_of_day,day_of_week,weekday,hour_sin,hour_cos,day_sin,day_cos,occupancy_lag1,occupancy_lag2
2024-01-01 00:00:00,0,0.0,0.0,0,Monday,0.0,1.0,0.0,1.0,0.0,0.0
2024-01-01 00:15:00,1,0.0,0.25,0,Monday,0.06540312923014306,0.9978589232386035,0.0,1.0,0.0,0.0
2024-01-01 00:30:00,2,0.0,0.5,0,Monday,0.13052619222005157,0.9914448613738104,0.0,1.0,0.0,0.0
2024-01-01 00:45:00,3,0.0,0.75,0,Monday,0.19509032201612825,0.9807852804032304,0.0,1.0,0.0,0.0
2024-01-01 01:00:00,4,0.0,1.0,0,Monday,0.25881904510252074,0.9659258262890683,0.0,1.0,0.0,0.0
2024-01-01 01:15:00,5,0.0,1.25,0,Monday,0.3214394653031616,0.9469301294951057,0.0,1.0,0.0,0.0
2024-01-01 01:30:00,6,0.0,1.5,0,Monday,0.3826834323650898,0.9238795325112867,0.0,1.0,0.0,0.0
2024-01-01 01:45:00,7,0.0,1.75,0,Monday,0.44228869021900125,0.8968727415326884,0.0,1.0,0.0,0.0
2024-01-01 02:00:00,8,0.0,2.0,0,Monday,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,0.0
2024-01-01 02:15:00,9,0.0,2.25,0,Monday,0.5555702330196022,0.8314696123025452,0.0,1.0,0.0,0.0
2024-01-01 02:30:00,10,0.0,2.5,0,Monday,0.6087614290087207,0.7933533402912352,0.0,1.0,0.0,0.0
2024-01-01 02:45:00,11,0.0,2.75,0,Monday,0.6593458151000688,0.7518398074789774,0.0,1.0,0.0,0.0
2024-01-01 03:00:00,12,0.0,3.0,0,Monday,0.7071067811865476,0.7071067811865476,0.0,1.0,0.0,0.0
2024-01-01 03:15:00,13,0.0,3.25,0,Monday,0.7518398074789774,0.6593458151000688,0.0,1.0,0.0,0.0
2024-01-01 03:30:00,14,0.0,3.5,0,Monday,0.7933533402912352,0.6087614290087207,0.0,1.0,0.0,0.0
2024-01-01 03:45:00,15,0.0,3.75,0,Monday,0.8314696123025451,0.5555702330196024,0.0,1.0,0.0,0.0
2024-01-01 04:00:00,16,0.0,4.0,0,Monday,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.0
2024-01-01 04:15:00,17,0.0,4.25,0,Monday,0.8968727415326884,0.44228869021900125,0.0,1.0,0.0,0.0
2024-01-01 04:30:00,18,0.0,4.5,0,Monday,0.9238795325112867,0.38268343236508984,0.0,1.0,0.0,0.0
2024-01-01 04:45:00,19,0.0,4.75,0,Monday,0.9469301294951056,0.3214394653031617,0.0,1.0,0.0,0.0
2024-01-01 05:00:00,20,0.0,5.0,0,Monday,0.9659258262890683,0.25881904510252074,0.0,1.0,0.0,0.0
2024-01-01 05:15:00,21,0.0,5.25,0,Monday,0.9807852804032304,0.19509032201612833,0.0,1.0,0.0,0.0
2024-01-01 05:30:00,22,0.0,5.5,0,Monday,0.9914448613738104,0.1305261922200517,0.0,1.0,0.0,0.0
